Sex,Status,TimeBottomNTT,TimeTopNTT,AbsoluteTurnAngle,Freezing,Speed
Female,FemaleControl,185.0982,74.86781,10.360021,11,3.89885697902098
Female,FemaleControl,256.7764,81.92934,9.649363,19,12.86236645744681
Female,FemaleControl,164.7825,20.26629,15.481266,17,16.4572995
Female,FemaleControl,268.0166,63.22060,16.257991,14,8.8770968
Female,FemaleControl,249.0409,51.93889,22.189159,12,0.6185783
Female,FemaleControl,224.7845,89.23486,21.772644,9,5.1906791
Female,FemaleControl,234.1770,104.18759,6.383132,7,11.52643340449438
Female,FemaleDominant,214.95936004415,10.4667937505179,15.4848583905651,10,12.1381720566805
Female,FemaleDominant,315.124931678129,28.2560698997581,18.0369666814664,35,12.5739220611266
Female,FemaleDominant,218.269821439567,22.2305958099938,34.9642318422359,16,5.38198815236044
Female,FemaleDominant,291.200013566925,23.2092231044164,21.1354092521985,25,11.028438058498
Female,FemaleDominant,329.136212096255,12.1083831435506,16.523801634519,22,6.23886798602794
Female,FemaleDominant,199.973030098096,19.081232713015,19.4936547678531,27,9.08447733132341
Female,FemaleDominant,216.371505934436,12.2076581653531,27.9694225217951,45,3.11856732298123
Female,FemaleSubordinate,356.426202622896,8.53551785074591,59.1498623964321,200,18.5164904322185
Female,FemaleSubordinate,349.17347977352,0,44.3481942101598,236,9.94749566162567
Female,FemaleSubordinate,303.093842921497,0,48.9490066321449,92,17.9914619277338
Female,FemaleSubordinate,343.199549696815,0,50.5868513813662,26,8.88451800936089
Female,FemaleSubordinate,306.264534652897,0,52.9215733976046,108,12.0232453262737
Female,FemaleSubordinate,319.146167222564,0,56.7210161186226,64,3.81126411622381
Female,FemaleSubordinate,351.359050673858,0.840790603620512,58.5471343535361,98,11.3460711084457
Female,FemaleSubordinate,310.073474930442,0,33.2398397783654,162,12.854979209306
Female,FemaleSubordinate,315.448866095517,0.0372745454286581,21.4376663056557,144,18.7340727077848
Male,MaleControl,219.6799,77.48622,19.640257,12,16.1971257
Male,MaleControl,271.2942,87.82859,21.037454,9,3.37409642063492
Male,MaleControl,65.9975,66.37189,21.660221,8,2.08167084969325
Male,MaleControl,218.4719,61.07733,22.78450,10,12.6426818
Male,MaleControl,227.8840,117.13158,22.951721,7,16.79317384969325
Male,MaleControl,242.9151,21.59408,19.592313,8,14.52069611594203
Male,MaleControl,204.5380,95.51869,9.361966,17,8.73328392592593
Male,MaleControl,294.6310,35.45260,16.620173,10,3.01067744444444
Male,MaleDominant,315.004269558564,10.8558327942092,22.6069132570309,34,16.3000852668567
Male,MaleDominant,247.019270265819,29.0339223550142,18.1587534506876,45,10.3185733409254
Male,MaleDominant,331.700838276254,12.8243800348016,23.9354359529633,29,15.2736903748242
Male,MaleDominant,295.788093418671,27.2311319901551,34.7362692059975,27,19.565837459752
Male,MaleDominant,202.748926687942,26.51786977839,23.9132193282296,44,6.03879025458377
Male,MaleDominant,350.285066333217,15.0943608320711,21.4998844343488,9,8.99155837084403
Male,MaleDominant,203.393012097805,14.6418665621844,32.3258262419539,23,13.7722669777956
Male,MaleDominant,276.09746802294,25.5969540835453,35.1955130671786,46,12.947040811255
Male,MaleDominant,264.282731213158,15.0814209830634,30.5640311993225,36,3.38037138429378
Male,MaleDominant,247.845230227846,12.1923619763174,16.1687111552017,3,8.75187406445894
Male,MaleDominant,299.972037663276,16.3535564187367,25.2537632741875,23,8.10517840165861
Male,MaleDominant,338.622475345537,29.5823267756205,29.2295416665927,15,18.9887808215348
Male,MaleDominant,327.707752836702,27.579107611667,24.6055002006033,23,14.8500827086792
Male,MaleSubordinate,310.403031348226,6.25378505295915,57.7669092381452,43,6.71490018306294
Male,MaleSubordinate,307.687417253608,8.55869570050692,36.3364712205251,46,16.6959858368209
Male,MaleSubordinate,310.371480043662,3.24762938228328,41.6280520304561,161,12.8886257825499
Male,MaleSubordinate,340.657014951343,6.59288186200246,51.7423472560874,119,10.3392284612479
Male,MaleSubordinate,335.169001912097,9.75323765253768,32.6142450166193,109,5.75780813544764
Male,MaleSubordinate,300.153828052237,4.27505544709536,42.8761409313214,179,14.4501365765937
Male,MaleSubordinate,301.132008874093,4.75867397718884,43.6656879188242,95,4.59348213569049
Male,MaleSubordinate,346.696123650507,2.76192968397703,20.9403579250313,232,4.56434587902744
Male,MaleSubordinate,316.410310527395,4.64056203657074,48.8458753093261,215,15.5597230150782
Male,MaleSubordinate,351.578224305701,1.75879365572271,45.4814344263816,137,6.37677837772254
Male,MaleSubordinate,355.671844778003,3.78753984895742,39.9531493754798,200,19.7788606877524
